8/15/2022,-0.43%
8/16/2022,0.36%
8/17/2022,0.44%
8/18/2022,0.48%
8/19/2022,0.24%
8/22/2022,0.24%
8/23/2022,0.41%
8/24/2022,-0.25%
8/25/2022,0.12%
8/26/2022,0.49%
8/29/2022,-0.13%
8/30/2022,-0.68%
8/31/2022,0.02%
9/1/2022,0.41%
9/2/2022,0.18%
9/5/2022,0.92%
9/6/2022,-0.16%
9/7/2022,-0.25%
9/8/2022,0.31%
9/9/2022,-0.09%
9/12/2022,-0.78%
9/13/2022,0.68%
9/14/2022,0.70%
9/15/2022,0.39%
9/16/2022,-0.25%
9/19/2022,-0.38%
9/20/2022,0.45%
9/21/2022,0.51%
9/22/2022,0.82%
9/23/2022,0.45%
9/26/2022,-0.23%
9/27/2022,0.05%
9/28/2022,0.48%
9/29/2022,0.60%
9/30/2022,-0.47%
10/3/2022,-0.24%
10/4/2022,-0.03%
10/5/2022,0.54%
10/6/2022,-1.16%
10/7/2022,0.96%
10/10/2022,-0.16%
10/11/2022,-0.13%
10/12/2022,0.89%
10/13/2022,-0.46%
10/14/2022,-0.03%
10/17/2022,-0.10%
10/18/2022,0.03%
10/19/2022,0.54%
10/20/2022,-0.48%
10/21/2022,0.36%
10/24/2022,0.28%
10/25/2022,-0.67%
10/26/2022,-1.13%
10/27/2022,0.30%
10/28/2022,0.43%
10/31/2022,-0.16%
11/1/2022,-1.04%
11/2/2022,1.14%
11/3/2022,0.34%
11/4/2022,-0.38%
11/7/2022,-0.33%
11/8/2022,-0.97%
11/9/2022,0.22%
11/10/2022,-1.17%
11/11/2022,-2.23%
11/14/2022,-0.67%
11/15/2022,0.72%
11/16/2022,1.26%
11/17/2022,0.54%
11/18/2022,-0.47%
11/21/2022,0.41%
11/22/2022,0.08%
11/23/2022,-0.28%
11/24/2022,-0.66%
11/25/2022,0.43%
11/28/2022,0.25%
11/29/2022,0.49%
11/30/2022,0.22%
12/1/2022,-0.66%
12/2/2022,-0.20%
12/5/2022,0.24%
12/6/2022,0.55%
12/7/2022,0.59%
12/8/2022,0.04%
12/9/2022,-0.34%
12/12/2022,0.27%
12/13/2022,-0.62%
12/14/2022,0.50%
12/15/2022,0.65%
12/16/2022,0.81%
12/19/2022,0.20%
12/20/2022,0.88%
12/21/2022,-0.37%
12/22/2022,0.45%
12/23/2022,-0.32%
12/26/2022,0.00%
12/27/2022,0.31%
12/28/2022,0.07%
12/29/2022,-1.39%
12/30/2022,0.18%
1/2/2023,-0.83%
1/3/2023,-0.26%
1/4/2023,-0.19%
1/5/2023,0.42%
1/6/2023,-0.09%
1/9/2023,-1.16%
1/10/2023,0.51%
1/11/2023,-0.38%
1/12/2023,0.11%
1/13/2023,-0.63%
1/16/2023,-0.63%
1/17/2023,0.47%
1/18/2023,0.21%
1/19/2023,0.79%
1/20/2023,-0.18%
1/23/2023,0.10%
1/24/2023,0.51%
1/25/2023,0.46%
1/26/2023,-0.09%
1/27/2023,0.09%
1/30/2023,0.15%
1/31/2023,0.21%
2/1/2023,0.48%
2/2/2023,-0.36%
2/3/2023,0.55%
2/6/2023,0.42%
2/7/2023,0.69%
2/8/2023,-0.21%
2/9/2023,0.11%
2/10/2023,-0.01%
2/13/2023,0.51%
2/14/2023,0.22%
2/15/2023,0.15%
2/16/2023,-0.43%
2/17/2023,0.61%
2/20/2023,-0.01%
2/21/2023,-0.27%
2/22/2023,0.05%
2/23/2023,0.26%
2/24/2023,0.65%
2/27/2023,-0.08%
2/28/2023,0.13%
3/1/2023,0.84%
3/2/2023,-0.03%
3/3/2023,-0.48%
3/6/2023,-0.07%
3/7/2023,0.31%
3/8/2023,0.53%
3/9/2023,0.24%
3/10/2023,0.42%
3/13/2023,-0.98%
3/14/2023,0.22%
3/15/2023,-0.37%
3/16/2023,0.07%
3/17/2023,0.02%
3/20/2023,0.36%
3/21/2023,0.33%
3/22/2023,-0.26%
3/23/2023,-0.02%
3/24/2023,-0.11%
3/27/2023,0.60%
3/28/2023,0.10%
3/29/2023,-0.96%
3/30/2023,-0.82%
,
